Word,Languages,Example
aff,Baseldytsch Bärndütsch,dr affebrunne isch e baasler stadtbrunne uf em andreasblatz mit ere skulptur vom ene aazognige aff uf em brunnestock 
afo,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,fascht jahr schpäter isch d gmeindsverwaltig erwiteret worde und me het de underi stock au afo bruuche 
afäng,Baseldytsch Bärndütsch,die genaun afäng vom münster si nid klärt 
again,Bärndütsch,the sun shines for nothing on the almost desert city everyone is swimming in one s own dreadful sea pretending not to know it will soon be time to go back to the common life back to the common worries it s a day out of time with no hour no date a day out of time no aim no regrets a day out of time wandering and playing a day out of time as if there was no end in this day out of time take em again to the street fair we ll loose our troubles in the air listen to the children laugthers throwing stones in the water we ll make a deal with time and chase him in an endless run in a soap bubble we will fly untill it blows out in the sun it s a day out of time with no hour no date a day out of time no aim no regrets a day out of time wandering and playing a day out of time as if there was no end in this day out of time a day out of time wandering and playing as if there was no end in this day out of time 
agee,Baseldytsch Ostschwizertütsch,wel de name im johr as in curte magaduninsi agee isch vermuetet mer ass er us gall 
agfange,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,ggründet worde sinds im und händ nach versuechsphase als soylent grün denn als die ärzte agfange sich ufe z arbeite 
aghalte,Baseldytsch Bärndütsch, isch dr platter stadtarzt und brofässer an dr universität basel worde er isch dört e baar mol räkter und dekan gsi er isch berüehmt gsi as sammler vo kunst musiginstrumänt präparat und stei wo dr montaigne noch italie greist isch het er z basel bim platter aghalte für zum däm si herbarium azluege 
agleit,Baseldytsch Züritüütsch Bärndütsch,ganzi quartier sind i de erste jahr vom jahrhundert neu baut worde mehreri schuelhüser sind entstande und en neue friedhof isch agleit worde 
agluegt,Baseldytsch Ostschwizertütsch Züritüütsch Bärndütsch,im mittelalter sei also en grosse fernhandels und bankkonzern wie dr templerorde eher als religiösi gmeinschaft uufgfasst worde i dr neuziit werd sogar d ehe als rein gsellschaftlichs gschöpf vomene vertrag agluegt 
agnoh,Baseldytsch Bärndütsch,d ahv alters und hinderbliibene versicherig isch z basel lang vor dr räschtlige schwiz scho iigfüehrt worde und wääred dr wältwirtschaftskriise isch ä neui schdüür dr arbetsrappe vo de wehler agnoh worde wo öffentligi baubrojekt zahlt het und so arbet für die arbetslose gschafft het 
aha,Bärndütsch,är isch vom amt ufbotte gsy am fritig vor de nüne by schtraf im unterlassigsfall im houptgebäud block zwo im büro persönlich go z erschiine und isch zum houptiigang am halbi nüüni inecho vom iigang d schtäge uf und de nach rächts het är sech gwändet isch dür ne länge gang de wider rächts und de graduus de zrügg und wider links bis wo der korridor het gändet de wider zrügg und gradus witer meh und meh konfus i sött doch het er dür die lääre gäng grüeft vor de nüne by schtrof im ungerlassigsfall im houptgebäud block zwo im büro persönlech ga erschiine und dür die lääre gäng do het me s echo ghört derfo hie bin i het är dänkt scho gsy nei dert bim egge chumme ni veillecht wider nei s isch s isch anders warum geit s jetz da i ha doch gmeint aha jetz no dert vorne einisch ume was isch de das da geits jetz weis i nümme won i schtah und dä wo isch ufbotte gsy am fritig vor de nüne by schtrof im ungerlassigsfall im houptgebäud block zwo im büro persönlech ga z erschiine isch immer witergloffe und isch nie meh ume cho 
ahd,Ostschwizertütsch Züritüütsch,de lützelsee oder lüzgi chliine see zu ahd 
ahnig,Bärndütsch,i dänke a di won i ou bi won i ou gah u woni ou stah ou wän i nie gloubt hett da dra bevor i di troffe ha han i kei ahnig gha was längi ziiti würklich heisst bevor i di troffe ha hätti nie chöne verstah warum mer vor freud luut use goisst bevor i di troffe ha hani gmeint es sig als bla bla wäme vo de grosse liebi redt bevor i di troffe ha hätti gseit i muess i nid ha i bi nid dä wo sehnsucht hätt jetz isch äs sowiit di ganzi ziit woni ou gah u woni ou stah i mine gedanke bisch du da bi jedem schritt bi jedem tritt i dänke a di won i ou bi ou wen i nie gloubt het da dra bis i di troffe ha was i verpasst han gha bevor i di troffe ha ja das gsehn i ersch hüt i ha cha nid gloube dra das es mi so träffe cha i ha gmeint mi träffis nid jetz isch es so wiit di ganzi ziit u won i ou gah u won i ou stah i mine gedanke bisch du da bi jedem schritt bi jedem tritt i dänke a di won i ou bi ou wen i nie gloubt hett da dra äs isch sowit di ganzi ziit u won i ou gah u won i ou stah i mine gedanke bisch du da bi jedem schritt bi jedem tritt i dänke a di won i ou bi ou wen i nie gloubt hett da dra bis i di troffe ha
aifach,Baseldytsch Ostschwizertütsch Bärndütsch,d appezäller südworst au grüeni worst oder aifach südwooscht isch e hälli brüeworst wo grüe roh kocht oder pasterisiert als spezialität us de ostschwiiz verchauft werd 
aigne,Baseldytsch Ostschwizertütsch,die noie eroberer hend iri aigne religiöse aasichte mitgnoo und mündlich tradiert 
aigni,Ostschwizertütsch,öber d alemane schribt er si hend e paar aigni sitte und brüüch 
aine,Baseldytsch Ostschwizertütsch,aine stammt vo welschinge vom andere waiss me nüme so gnau won er gfunde worden isch irged näbe z südwestdütschland 
aini,Baseldytsch Ostschwizertütsch,aini isch südlich vom oppidum brenodor glege 
ainisch,Baseldytsch Ostschwizertütsch Bärndütsch,de agathias waiss au as bi de alemane seher gsi sind wo ainisch vonere schlacht abgrote hend 
ainzig,Baseldytsch Ostschwizertütsch,im sommer isch uf de alpe da di ainzig möglichkait gsi d milch haltbar z mache 
akademy,Züritüütsch,dezue ane isch er mitgliid gsy von de kungliga gustav adolfs akademien för svensk folkkultur königlichi gustav adolf akademy für schweedischi volchskultur z uppsala vo de kungliga vitterhets historie och antikvitets akademien königlichi akademy für gleersamkäit gschicht und altertümer z stockholm und vo de norske videnskaps akademi norwägischi wüsseschaftsakademy z oslo 
aktivi,Baseldytsch Züritüütsch Bärndütsch,nebed villne konsumente gits aber immerno e aktivi meh oder weniger guet vernetzti szene wo absiits vo kommerzielle ziil ihräs ding duräzieht 
aktyv,Züritüütsch,au nachanen isch er na über zää jaar lang wyter wüsseschaftlich aktyv gsy 
akzänt,Baseldytsch Züritüütsch Bärndütsch,das die wokääl im walisertüütsch na äxischtiered füert er uf de wenig uuspr gt akzänt im walisertüütsch zrugg aber andersch as d elise wipf die hät gmäint die wokääl segid na daa wil di relatyv starch bitoonig vo de näbesilbe wo s althoochtüütsch na ghaa hät im walisertüütsch überläbt heb de moulton degäge hät vermuetet s walisertüütsch heb s frankoprowänzaalisch bitoonigssischteem wo nöd uf di eerscht silbe fokussiert isch übernaa und drum segid di unbitoonte wokääl wo zur zyt vo der alemanische bisidlig vom oberwalis na äxischtiert händ erhalte pliben und nöd wie im grööschte täil vo de tüütschschwyz abgfale 
alban,Baseldytsch,zsämme mit em bachlätte quartier wird s zum spass as bläächdalbe oder alumyyniumdalbe dalbe isch dr baseldütsch name vom st alban quartier bezeichnet 
albe,Züritüütsch Bärndütsch,gründigsmitglieder sind damals de bela b und de farin urlaub gsi und mitem bassischt sahnie händs dänn au die erschte albe gmacht 
albis,Züritüütsch,zwee söö sind pfärer woorde gwürkt hä de heinrich jun z matt gl und z langnau am albis de hans z mülihore z buchs zh und z wintertuur wülflinge so luut archyv idiotikon oder z wintertuur tööss so luut matrikeledizioon vo der uni züri dezue anen isch de hans dänn au na chileraat exekutyvmitgliid vo de zürcher landeschile woorde 
alei,Bärndütsch,s git lüt die würden alletwäge nie es lied vorsinge so win ig jitz hie eis singen um kei prys nei bhüetis nei wil si hemmige hei si wäre vilicht gärn im grund gno fräch und dänke das syg ires grosse päch und s laschtet uf ne win e schwäre stei dass si hemmige hei i weis das macht eim heiss verschlat eim d stimm doch dünkt eim mängisch o s syg nüt so schlimm s isch glych es glück o we mirs gar nid wei das mir hemmige hei was unterscheidet d mönsche vom schimpans s isch nid die glatti hut dr fählend schwanz nid dass mir schlächter d böim ufchöme nei dass mir hemmige hei me stell sech d manne vor wenns anders wär und s chäm es hübsches meiteli derhär jitz luege mir doch höchstens chly uf d bei wil mir hemmige hei und we me gseht was hütt dr mönschheit droht so gseht me würklech schwarz nid nume rot und was me no cha hoffen isch alei dass si hemmige hei
alem,Ostschwizertütsch Züritüütsch,i der indology häts der abegg alem aaschy naa besser präschtiert 
ales,Ostschwizertütsch Züritüütsch,intressiert hät en a d ne beeden uniw rsit ten ales chäibs z züri altgermaanisch altindisch alt und mittelänglisch arabisch neup rsisch psichology filosofy z läipzig dänn tüütsch skandinaavisch altindisch keltisch awestisch altslaawisch litauisch chineesisch tibeetisch bantuspraache filosofy kultuurgschicht spraachpsichology ghirnleer patology vo de spraach und völcherpsichology 
alewiil,Ostschwizertütsch Züritüütsch,s bekanntist werch vom gessner wo probiert hät s alewiil gröösser wüsse vo sinere epoche sistematisch z sichte und z erschlüüsse isch sini viärbändig historia animalium wo postum um ene föifte band ergänzt worden isch 
alewyl,Züritüütsch,wo s heft remmalju vom centro studi walser rimella s eerscht maal usechoo isch händs deet e schrybig presäntiert wo scho vil besser gsy isch aber alewyl na daa und deet echli gspässig für s vertumpft a aso s händs zum byspiil d schrybig oa welen yfüere 
